1933,東証2部,西日本システム建設(株)
1934,東証1部,(株)ユアテック
1935,東証2部,(株)ＴＴＫ
1936,名証1部,シーキューブ(株)
1937,東証1部,西部電気工業(株)
1938,東証2部,日本リーテック(株)
1939,東証1部,(株)四電工
1941,東証1部,(株)中電工
1942,東証1部,(株)関電工
1944,東証1部,(株)きんでん
1945,東証1部,(株)東京エネシス
1946,東証1部,(株)トーエネック
1948,東証2部,(株)弘電社
1949,東証1部,住友電設(株)
1950,東証1部,日本電設工業(株)
1951,東証1部,(株)協和エクシオ
1952,東証1部,新日本空調(株)
1954,東証1部,日本工営(株)
1956,東証1部,ＮＤＳ(株)
1959,東証1部,(株)九電工
1960,東証2部,(株)サンテック
1961,東証1部,三機工業(株)
1963,東証1部,日揮(株)
1964,東証1部,中外炉工業(株)
1965,東証2部,(株)テクノ菱和
1966,東証2部,(株)高田工業所
1967,東証1部,(株)ヤマト
1968,東証1部,太平電業(株)
1969,東証1部,高砂熱学工業(株)
1971,東証2部,中央ビルト工業(株)
1972,東証1部,三晃金属工業(株)
1973,東証1部,ＮＥＣネッツエスアイ(株)
1975,東証1部,(株)朝日工業社
1976,東証1部,明星工業(株)
1979,東証1部,(株)大気社
1980,東証1部,ダイダン(株)
1981,東証JQS,(株)協和日成
1982,東証1部,日比谷総合設備(株)
1983,東証1部,東芝プラントシステム(株)
1984,東証JQS,三信建設工業(株)
1987,東証2部,(株)ソルコム
1989,東証2部,北陸電話工事(株)
1992,東証JQS,神田通信機(株)
1994,東証JQS,高橋カーテンウォール工業(株)
1997,東証JQS,暁飯島工業(株)
1999,福証,サイタホールディングス(株)
2001,東証1部,日本製粉(株)
2002,東証1部,(株)日清製粉グループ本社
2003,東証1部,日東富士製粉(株)
2004,東証1部,昭和産業(株)
2006,東証2部,東福製粉(株)
2008,東証2部,(株)増田製粉所
2009,東証1部,鳥越製粉(株)
2052,東証1部,協同飼料(株)
2053,東証1部,中部飼料(株)
2055,東証2部,日和産業(株)
2056,東証1部,日本配合飼料(株)
2058,福証,(株)ヒガシマル
2107,東証1部,東洋精糖(株)
2108,東証1部,日本甜菜製糖(株)
2109,東証1部,三井製糖(株)
2112,東証1部,塩水港精糖(株)
2114,東証2部,フジ日本精糖(株)
2117,東証2部,日新製糖(株)
2120,東証1部,(株)ネクスト
2121,マザーズ,(株)ミクシィ
2122,マザーズ,(株)インタースペース
2124,東証JQS,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ
2127,東証1部,(株)日本Ｍ＆Ａセンター
2128,東証1部,(株)ノバレーゼ
2130,名古屋セ,(株)メンバーズ
2131,東証1部,(株)アコーディア・ゴルフ
2132,東証JQG,(株)アイレップ
2134,東証JQS,燦キャピタルマネージメント(株)
2136,東証JQS,(株)ヒップ
2137,札幌ア,(株)光ハイツ・ヴェラス
2138,東証JQS,クルーズ(株)
2139,名証2部,(株)中広
2144,東証JQG,(株)やまねメディカル
2145,東証JQS,データリンクス(株)
2146,東証JQS,ＵＴホールディングス(株)
2148,マザーズ,アイティメディア(株)
2150,マザーズ,(株)ケアネット
2151,東証1部,(株)タケエイ
2152,東証JQS,幼児活動研究会(株)
2153,東証2部,Ｅ・Ｊホールディングス(株)
2154,東証1部,(株)トラスト・テック
2155,マザーズ,(株)カービュー
2156,東証JQS,セーラー広告(株)
